"Step","Name: ml100k-bpr-dual3 - recall","Name: ml100k-bpr-dual3 - recall__MIN","Name: ml100k-bpr-dual3 - recall__MAX","Name: ml100k-bpr-dual2 - recall","Name: ml100k-bpr-dual2 - recall__MIN","Name: ml100k-bpr-dual2 - recall__MAX","Name: ml100k-bpr-random - recall","Name: ml100k-bpr-random - recall__MIN","Name: ml100k-bpr-random - recall__MAX","Name: ml100k-bpr-sim - recall","Name: ml100k-bpr-sim - recall__MIN","Name: ml100k-bpr-sim - recall__MAX","Name: ml100k-bpr-rb - recall","Name: ml100k-bpr-rb - recall__MIN","Name: ml100k-bpr-rb - recall__MAX","Name: ml100k-bpr-popularity-default - recall","Name: ml100k-bpr-popularity-default - recall__MIN","Name: ml100k-bpr-popularity-default - recall__MAX"
"0","0.007112137490168515","0.005672975550981475","0.007831718459762035","0.006137356292986595","0.005572568904061449","0.007831718459762035","0.00823334504744214","0.00823334504744214","0.00823334504744214","0.005823585521361514","0.005823585521361514","0.005823585521361514","0.007279481901701893","0.007279481901701893","0.007279481901701893","0.005622772227521462","0.005622772227521462","0.005622772227521462"
"1","0.011178606690429574","0.010341884632762689","0.011596967719263015","0.011295747778502936","0.01119534113158291","0.011596967719263015","0.013354084040363472","0.013354084040363472","0.013354084040363472","0.006626838696721723","0.006626838696721723","0.006626838696721723","0.02550328831768663","0.02550328831768663","0.02550328831768663","0.006877855314021788","0.006877855314021788","0.006877855314021788"
"2","0.024382080760413007","0.02414779858426628","0.02485064511270646","0.024984520641933166","0.02414779858426628","0.025402881670766604","0.04473116120287163","0.04473116120287163","0.04473116120287163","0.010944324514282846","0.010944324514282846","0.010944324514282846","0.05085596666499322","0.05085596666499322","0.05085596666499322","0.01721973994678448","0.01721973994678448","0.01721973994678448"
"3","0.04737520290509898","0.04553441437823184","0.04829559716853256","0.046153588700905336","0.04508258446709172","0.04829559716853256","0.07600783171845976","0.07600783171845976","0.07600783171845976","0.03930920226919022","0.03930920226919022","0.03930920226919022","0.07816657462724032","0.07816657462724032","0.07816657462724032","0.057834228625935034","0.057834228625935034","0.057834228625935034"
"4","0.07995715983064745","0.07836738792108038","0.08313670364978161","0.0809110229763877","0.07836738792108038","0.08218284050404137","0.0749535619257995","0.0749535619257995","0.0749535619257995","0.0788192178322205","0.0788192178322205","0.0788192178322205","0.09854912395200563","0.09854912395200563","0.09854912395200563","0.08429138008936192","0.08429138008936192","0.08429138008936192"
"5","0.107736332145188","0.10457352276720719","0.11406195090114965","0.10996201281858192","0.10457352276720719","0.11265625784426929","0.06958180631557809","0.06958180631557809","0.06958180631557809","0.08986394899342337","0.08986394899342337","0.08986394899342337","0.10236457653496661","0.10236457653496661","0.10236457653496661","0.08981374566996335","0.08981374566996335","0.08981374566996335"
"6","0.11702394698529044","0.1142125608715297","0.1226467192128119","0.1199022708636645","0.1142125608715297","0.12274712585973191","0.0707364827551584","0.0707364827551584","0.0707364827551584","0.09147045534414379","0.09147045534414379","0.09147045534414379","0.103820472915307","0.103820472915307","0.103820472915307","0.09177167528490386","0.09177167528490386","0.09177167528490386"
"7","0.1203875696571113","0.11858025001255083","0.12400220894623223","0.12259651588935187","0.11858025001255083","0.12460464882775239","0.07871881118530047","0.07871881118530047","0.07871881118530047","0.09071740549224358","0.09071740549224358","0.09071740549224358","0.10492494603142728","0.10492494603142728","0.10492494603142728","0.0915206586676038","0.0915206586676038","0.0915206586676038"
"8","0.12180999715514501","0.12078919624479141","0.1238515989758522","0.12283079806549861","0.12078919624479141","0.1238515989758522","0.08534564988202219","0.08534564988202219","0.08534564988202219","0.09121943872684371","0.09121943872684371","0.09121943872684371","0.10532657261910738","0.10532657261910738","0.10532657261910738","0.09172147196144385","0.09172147196144385","0.09172147196144385"
"9","0.12259651588935187","0.12219488930167177","0.12339976906471209","0.12316548688856536","0.12219488930167177","0.12365078568201215","0.09237411516642402","0.09237411516642402","0.09237411516642402","0.09257492846026406","0.09257492846026406","0.09257492846026406","0.10341884632762689","0.10341884632762689","0.10341884632762689","0.09277574175410412","0.09277574175410412","0.09277574175410412"
