"Step","Name: ml100k-bpr-dual3 - precision","Name: ml100k-bpr-dual3 - precision__MIN","Name: ml100k-bpr-dual3 - precision__MAX","Name: ml100k-bpr-dual2 - precision","Name: ml100k-bpr-dual2 - precision__MIN","Name: ml100k-bpr-dual2 - precision__MAX","Name: ml100k-bpr-random - precision","Name: ml100k-bpr-random - precision__MIN","Name: ml100k-bpr-random - precision__MAX","Name: ml100k-bpr-sim - precision","Name: ml100k-bpr-sim - precision__MIN","Name: ml100k-bpr-sim - precision__MAX","Name: ml100k-bpr-rb - precision","Name: ml100k-bpr-rb - precision__MIN","Name: ml100k-bpr-rb - precision__MAX","Name: ml100k-bpr-popularity-default - precision","Name: ml100k-bpr-popularity-default - precision__MIN","Name: ml100k-bpr-popularity-default - precision__MAX"
"0","0.015022976316719687","0.011983032873806998","0.016542948038176034","0.012963944856839871","0.011770943796394486","0.016542948038176034","0.017391304347826087","0.017391304347826087","0.017391304347826087","0.012301166489925769","0.012301166489925769","0.012301166489925769","0.015376458112407211","0.015376458112407211","0.015376458112407211","0.011876988335100742","0.011876988335100742","0.011876988335100742"
"1","0.023612583951926475","0.021845174973488864","0.02449628844114528","0.02386002120890774","0.023647932131495228","0.02449628844114528","0.02820784729586426","0.02820784729586426","0.02820784729586426","0.013997879109225874","0.013997879109225874","0.013997879109225874","0.053870625662778365","0.053870625662778365","0.053870625662778365","0.014528101802757157","0.014528101802757157","0.014528101802757157"
"2","0.05150229763167197","0.051007423117709436","0.05249204665959703","0.05277483209614705","0.051007423117709436","0.05365853658536585","0.09448568398727465","0.09448568398727465","0.09448568398727465","0.023117709437963947","0.023117709437963947","0.023117709437963947","0.10742311770943797","0.10742311770943797","0.10742311770943797","0.03637327677624602","0.03637327677624602","0.03637327677624602"
"3","0.1000706963591375","0.09618239660657477","0.10201484623541887","0.0974902792506186","0.09522799575821846","0.10201484623541887","0.16055143160127253","0.16055143160127253","0.16055143160127253","0.08303287380699893","0.08303287380699893","0.08303287380699893","0.16511134676564157","0.16511134676564157","0.16511134676564157","0.12216330858960764","0.12216330858960764","0.12216330858960764"
"4","0.16889360197949807","0.1655355249204666","0.17560975609756097","0.17090844821491694","0.1655355249204666","0.1735949098621421","0.15832449628844114","0.15832449628844114","0.15832449628844114","0.1664899257688229","0.1664899257688229","0.1664899257688229","0.20816542948038175","0.20816542948038175","0.20816542948038175","0.17804878048780487","0.17804878048780487","0.17804878048780487"
"5","0.22757158006362674","0.22089077412513256","0.24093319194061505","0.23227288794627077","0.22089077412513256","0.23796394485683986","0.1469777306468717","0.1469777306468717","0.1469777306468717","0.18981972428419935","0.18981972428419935","0.18981972428419935","0.21622481442205727","0.21622481442205727","0.21622481442205727","0.1897136797454931","0.1897136797454931","0.1897136797454931"
"6","0.2471898197242842","0.24125132555673381","0.2590668080593849","0.25326970661010956","0.24125132555673381","0.25927889713679747","0.1494167550371156","0.1494167550371156","0.1494167550371156","0.19321314952279958","0.19321314952279958","0.19321314952279958","0.2193001060445387","0.2193001060445387","0.2193001060445387","0.1938494167550371","0.1938494167550371","0.1938494167550371"
"7","0.2542948038176034","0.25047720042417815","0.26193001060445387","0.25896076352067865","0.25047720042417815","0.26320254506892893","0.16627783669141039","0.16627783669141039","0.16627783669141039","0.19162248144220573","0.19162248144220573","0.19162248144220573","0.22163308589607636","0.22163308589607636","0.22163308589607636","0.19331919406150583","0.19331919406150583","0.19331919406150583"
"8","0.25729939908094734","0.25514316012725347","0.2616118769883351","0.2594556380346412","0.25514316012725347","0.2616118769883351","0.18027571580063625","0.18027571580063625","0.18027571580063625","0.1926829268292683","0.1926829268292683","0.1926829268292683","0.2224814422057264","0.2224814422057264","0.2224814422057264","0.19374337221633087","0.19374337221633087","0.19374337221633087"
"9","0.2589607635206787","0.2581124072110286","0.2606574761399788","0.2601626016260163","0.2581124072110286","0.26118769883351006","0.1951219512195122","0.1951219512195122","0.1951219512195122","0.1955461293743372","0.1955461293743372","0.1955461293743372","0.21845174973488865","0.21845174973488865","0.21845174973488865","0.19597030752916225","0.19597030752916225","0.19597030752916225"
